  -51,   -91,    93
  344,  -197,   273
  253,  -198,   353
  -33,  -200,   -71
  371,  -166,  -192
 1172,   371,   115
 2055,   127,  -460
 2538,  -706,  -476
 2055,   364,  -624
 2149,    -7,  -416
 1125,  -493,  -393
  219,   204,   403
  -20,    63,   643
  359,  -471,   409
  -91,  -397,  -262
   -6,   -19,  -263
  260,   437,    -2
  698,   291,    92
 2696,    25,  -662
 2177,  -878,  -487
 2619,  -554,  -499
 2348,    30,  -241
 1312,   432,   148
  108,   234,   150
 -151,  -347,  -128
  175,  -462,   335
   70,  -366,   147
   15,   -23,  -126
  371,    93,   447
  548,    68,   -61
 2412,   485,  -219
 1516,  -563,  -468
 2728,  -762,  -726
 2387,    71,  -476
 1804,    -5,   -90
 1005,  -157,   -63
  305,   158,   261
 -219,   122,   733
   34,  -401,  -194
  -27,  -807,  -517
  135,  -141,   113
  135,   702,   131
  755,   161,   -32
 2536,  -508,  -575
 1723,  -725,  -541
 2477,   113,  -546
 2343,    61,  -440
 1658,   -98,  -252
  742,    85,   217
  -56,  -277,   288
  257,  -735,   444
  -12,  -244,   230
  -97,    -1,  -205
   80,   -73,  -309
  529,    93,   209
 1727,   259,   -48
 1623,   108,  -622
 2673,  -790,  -615
 2527,   357,     2
 1931,   249,    62
 1404,  -431,  -214
  522,   255,   -39
 -275,   -41,   287
 -107,  -481,   -61
  256,  -826,   -44
   24,  -515,   208
  167,    50,  -145
  839,   250,    39
 2231,     5,    20
 1869,     4,  -354
 2594,   -66,  -349
 2409,  -870,  -210
 1850,  -408,   -54
  774,   782,   104
 -140,   689,   183
 -155,  -553,   233
  316, -1217,  -179
   81,  -301,    97
   13,   312,   164
  495,   312,    96
  987,   576,   -21
 2300,  -191,  -440
 2231,  -576,  -434
 2715,  -838,  -497
 2347,   104,     0
 1502,   373,   266
  350,    42,   127
 -530,  -383,  -186
   96,  -535,   -83
  200,  -143,   296
  -18,   198,    32
  272,  -118,   189
 1065,  -554,   345
 1273,  1235,  -430
 2525,  -204,  -364
 2552, -1304,  -575
 2488,  -395,  -406
 1791,   360,   -18
  692,   544,   256
 -133,   107,   210
   26,  -378,    34
  249,  -653,   108
 -173,  -181,    54
  -10,   -67,   -96
  450,   -73,   219
 1390,  -181,   -59
 2263,  -450,  -362
 2681,  -327,  -307
 2572,   -94,  -602
 1819,    99,  -181
 1027,   205,   174
  114,   -92,    11
 -365,  -510,  -314
  329,  -739,   376
 -152,  -441,  -256
   82,   -86,  -152
  509,   459,   592
 1507,    26,  -202
 2583,  -715,   -39
 2267,  -824,  -848
 1992,   887,  -751
 2101,  -233,  -253
 1022,  -338,   -73
   78,   -83,  -101
   71,  -320,   169
  317,  -747,   341
   65,  -127,   215
 -151,   188,  -177
  323,   -42,   -39
  958,   151,   122
 2314,  -787,  -510
 2497,  -331,  -309
 2628,   162,  -562
 2030,  -149,  -102
 1136,  -163,    81
  203,    83,   185
 -259,   -21,   260
  107,  -418,   127
   99,  -353,   173
   12,  -237,    97
  487,   -78,   127
 1321,    56,  -387
 2660,    88,  -113
 2571,  -355,  -618
 2347,   112,  -536
 1788,   -90,   -96
  691,  -130,   -51
 -199,  -134,   -39
   28,  -554,   324
  290,  -460,   440
  -31,  -179,  -168
