 -396,   -47,  -260
  127,  -136,   -48
  124,   148,   101
  797,   321,   319
 2261,   592,  -463
 2299,  -427,  -149
 1887,  -572, -1536
 2415,  -483,  -903
 1619,   162,  -239
  856,   311,   263
  -11,   -78,   311
   36,  -307,   192
  206,  -404,   189
  -37,  -248,    40
  -15,   -41,  -154
  502,   195,   131
 1458,   691,  -216
 2790,   509,   -88
 2712,  -897, -1223
 2755, -1168, -1047
 1882,   128,  -126
  515,   529,   365
 -385,   -33,   195
  394,  -177,   256
  140,   -18,   298
 -108,  -288,    12
   14,  -207,  -198
  254,    51,   120
  669,    24,    13
 2317,   690,   -54
 1451,   160,  -228
 1510,  -395,  -481
 2884, -1078,  -402
 1863,  -152,  -684
 2395,   330,   237
 1428,    68,   144
  184,   -29,     0
 -502,  -368,    92
  211,  -305,   104
  392,   191,   436
   30,   112,   408
  -14,  -127,   169
  498,  -190,    62
 1648,    38,  -469
 2509,   176,  -285
 1680,   244,  -255
 2578,  -522,  -720
 2067,  -573,  -214
 1670,  -635,  -219
  465,    96,   157
 -377,   208,   482
  351,    36,   447
  114,  -152,   127
 -196,  -171,  -297
  191,   -67,   129
  771,   375,   170
 2242,   181,   -22
 2042,  -273,  -600
 2506,  -734,  -628
 2248,    -6,  -437
 1691,  -535,  -617
  796,    14,  -158
  -69,   446,   464
  102,  -202,   638
  605,  -330,   185
   -1,    91,   216
 -132,   -84,    36
  183,  -176,   -78
 1520,   427,    52
 2448,   613,    20
 2129,  -275,  -736
 2057,  -832, -1206
 2373,  -456,  -203
 1826,  -209,   200
  656,   194,    -5
 -348,   382,   221
   56,  -228,   361
  508,  -315,   151
   84,  -176,   270
 -165,    49,   -42
  335,    39,   -63
 1310,    95,  -123
 3002,   300,   503
 1282,   585,  -839
 1968,  -423, -1054
 2417, -1367,  -565
 2107,  -563,   -82
 1362,   804,   118
  102,   749,   103
 -545,    24,    86
  383, -1006,  -253
  386,  -323,   227
  -26,   115,   478
  105,  -132,   197
  650,   308,  -135
 2668,   613,    23
 1812,    43,  -505
 2156,  -229, -1004
 2391,  -709,  -524
 1776,  -779,    71
  956,  -142,   -32
   58,   558,   208
 -149,   150,   611
  381,   -30,   319
   66,  -115,    31
 -113,     5,  -136
  485,   -51,    12
 2035,  -159,  -475
 2125,  -453,  -290
 2398,    41,  -326
 2071,   575,  -497
 1949,  -680,  -496
  984,  -666,  -480
  262,   220,    10
  -56,   -84,   342
  274,  -146,     2
   -7,   364,   164
   61,    -3,   170
  451,  -297,   379
 1148,  -229,   678
 2266,   228,  -655
 1893,  -751,  -706
 2025,   225,  -846
 2375,   161,  -626
 2236,  -594,   -25
 1062,  -249,  -165
 -285,   379,   303
 -122,  -162,   538
  464,  -304,   227
  -68,   -96,   -80
  -44,   -70,    44
  194,  -209,   292
  987,    63,   115
 2415,   194,  -158
 1829,  -276,  -410
 2634,  -453,  -902
 2231,   -70,  -390
 1847,   -37,   -63
 1079,    44,  -360
  142,   179,   -56
  -69,  -405,    66
  200,  -755,    64
   30,   205,   122
   78,   179,   395
  254,  -332,   269
  615,  -154,   367
 2123,    91,  -584
 2431,    62,   127
 1824,   -78, -1053
 2026,   419,  -782
 2460,  -695,  -293
 1499,  -636,   -25
  397,     0,   -49
 -407,   407,   492
  479,  -511,   340
  343,   -18,   291
  -85,  -188,   272
 -144,  -152,  -132
  545,   540,     0
 1368,   -89,  -368
 2263,  -308,   177
 1888,  -232,  -632
 2414,  -165,  -782
 1889,  -122,  -122
 2101,     7,   129
 1297,   200,  -161
  210,   187,  -165
 -250,  -143,   220
  256,  -810,   188
  350,    -4,   492
 -162,   343,   214
   59,  -167,     8
  544,  -117,    29
 2091,   281,  -159
 2390,   -34,   -43
 2047,  -111,  -552
 2117,  -278,  -948
 2350,  -464,  -150
 1590,  -330,   152
  445,   -35,  -178
 -435,   164,   274
  380,  -420,   400
  313,   -51,   132
 -146,    47,   111
  178,   -30,   407
  506,  -227,   422
 1756,   554,  -225
 2013,  -401,  -203
 1384,    33, -1041
 2243,  -151,  -443
 2541,  -984,  -489
 2066,    90,    55
 1181,   340,   -40
   39,   -70,   -76
 -303,  -235,    34
  549,  -762,    94
  174,    70,   230
  -39,   157,   304
  329,  -229,   333
  767,  -355,   426
 2002,  1177,  -225
 2255,  -349,  -386
 1718,  -722, -1360
 2416,  -584,  -738
 2204,   161,  -106
 1415,   102,    76
  252,   342,   125
 -420,   111,   211
  260,  -324,   257
  382,  -349,   352
  -26,  -280,   173
  -38,  -111,     7
  627,   194,   135
 2394,   297,   273
 1856,   282,  -534
 2219,  -399,  -681
 2541,  -938, -1142
 2373,   265,    95
 1469,    42,   242
  237,  -129,  -231
 -432,  -131,    40
  362,  -273,   402
  462,   158,   554
  -91,   -53,   225
 -143,  -208,  -248
  304,  -154,  -111
 1174,   166,    26
 2821,  -253,   154
 1500,   151,  -647
 2582,  -138,  -798
 2413,   -43,  -400
 1854,  -341,   -31
  905,  -159,  -426
 -143,   195,   -28
  -78,  -286,   645
  597,  -233,   414
  236,  -101,   170
 -171,    23,   139
   45,  -177,   101
  587,   258,  -197
 2226,  -279,   267
 2007,   476,  -320
 2017,    71,  -343
 2156,  -704,  -726
 2014,  -259,  -392
 2275,  -181,   273
 1212,  -254,   112
  -98,     0,    46
 -501,  -147,   132
  748,  -300,   370
  179,   369,   450
 -184,   166,   115
  130,  -391,    38
  645,  -190,    93
 2070,   235,  -177
 2333,   687,   143
 2104,   112,  -997
 2538,  -894,  -955
 2028,  -764,  -133
 1430,   -11,   -78
  153,   412,   152
 -610,  -108,   293
  542,  -364,   189
  315,   103,   504
 -192,   -20,   112
   40,   -91,  -176
  287,     0,  -223
 2135,   180,   548
 2067,   309,    12
 1470,   379,  -886
 2716, -1058,  -677
 1972, -1184,  -735
 1949,   175,     6
 1264,   664,   215
  284,   263,    -1
 -261,   -12,    39
  316,  -333,   250
  213,    38,   552
  -26,    79,   251
   91,    -9,   119
  547,   -23,   -10
 2540,  -153,  -376
 2287,    -4,   -15
 2072,    14,  -974
 2588,  -270,  -690
 2073,  -743,  -176
  973,   -31,   100
 -353,   519,   222
   45,   -21,   455
  501,  -363,   503
 -135,  -225,  -144
   31,  -157,   -45
  164,  -233,   203
  403,   232,    66
 2366,   267,  -157
 2149,    16,  -431
 2402,  -229,  -670
 2597,  -726,  -754
 2236,  -454,  -189
 1166,   434,    40
  -68,   502,   149
 -127,  -205,   174
  366,  -202,   438
  -64,   -90,    -6
  -47,  -243,   -71
  342,  -381,   430
  239,   146,   254
 1453,   532,  -416
 2654,  -170,  -274
 2260,  -247,  -836
 2642,  -301,  -719
 2302,  -370,  -342
 1232,   -71,  -104
  189,   283,    61
  -33,   -74,   292
  399,   -79,   673
 -147,    63,     7
  -82,  -195,  -139
  212,  -236,   122
  388,  -147,   654
 1235,   137,  -310
 2060,  -578,  -443
 2209,  -668,  -478
 2579,    20, -1226
 1987,   939,  -270
 1889,  -446,  -384
 1116,  -293,  -219
  -50,   159,   198
 -233,  -191,   370
  373,  -423,   428
    0,  -316,    -1
   65,   -92,    29
  208,    32,   325
  616,   354,   166
 2481,   135,  -136
 1854,  -634,  -592
 1839,    98,  -795
 2676,  -180,  -499
 2321,  -964,  -244
 1328,    62,  -172
  255,   223,   -86
 -209,     6,   325
  198,  -344,   255
  186,  -213,   221
  -99,   -70,    82
   42,  -142,   101
  313,   197,   139
 2275,   543,   499
 1453,  -306,  -768
 1837,  -508,  -716
 2476,  -371,  -604
 2523,  -435,  -443
 1983,   383,  -202
  825,   610,    46
 -160,  -366,  -199
   14, -1014,  -207
  464,   285,   705
 -159,    34,   198
  115,  -545,    17
  170,  -191,    56
 1118,   124,    73
 2224,   620,  -108
 1620,  -350,  -664
 2110,  -609, -1099
 2234,  -178,  -594
 1893,    54,  -253
  979,   138,  -372
   24,   -15,  -193
   75,  -777,   227
  806,  -439,   815
 -269,   308,    46
 -158,  -157,   -78
  310,  -373,  -228
 1025,    58,  -144
 2088,   -83,   -54
 1384,   527,  -352
 1830,   387,  -527
 2447,  -584,  -848
 1690,  -755,  -796
 1901,   -45,  -297
 1219,   430,   -46
  278,   127,   -61
 -314,  -872,   -41
  654,  -511,   432
  -23,   290,   283
   57,   113,   409
  232,  -410,   310
  249,   312,  -451
 2489,    85,   353
 1499,  -190,  -795
 2170,    45,  -723
 2632,  -231,  -588
 2273,  -689,  -452
 1463,   -44,  -252
  476,   349,  -121
  -87,   -59,   413
  492,  -502,   366
   14,  -104,   157
 -130,  -167,    81
  167,  -547,   115
  329,   112,   -89
 1219,   565,   428
 1971,   506,  -634
 1597,   -65,  -435
 2447,  -847,  -807
 2183,  -508,  -840
 2047,   -68,  -279
 1280,   602,   -75
  323,   317,   184
 -156,  -747,  -285
  372,  -547,   391
  -86,   235,   232
   57,  -277,   131
  394,  -222,   283
  382,   248,    40
 2103,  -109,  -246
 1241,  -618,  -624
 2293,   268,  -641
 2437,   276,  -345
 2339,  -437,  -497
 1743,  -215,  -295
  700,    97,   -29
 -303,  -103,    55
  -72,  -326,   189
  517,  -203,   530
  -49,    16,    65
  -93,   -26,   -64
  327,   -22,  -207
 1286,   382,   341
 2225,   432,   -11
 1502,   -86,  -744
 2292,  -479,  -809
 2275,   -75,  -324
 2254,   286,    25
 1468,   450,   -67
  592,  -259,  -241
 -155,  -582,  -298
 -155, -1196,  -238
  137,  -139,   -34
   45,   633,   165
  404,   159,   663
  625,  -489,   783
  568,   696,  -870
 2540,  -418,   -91
 1011,   -34,  -940
 2382,   441,  -274
 2230,  -580,  -394
 2027,  -373,  -345
 1794,   287,   -26
  887,   174,  -189
  -65,  -206,  -316
  -86,  -648,    60
  330,   -54,   522
  -25,   183,   222
  191,  -298,   211
  143,  -208,   144
 1247,    14,   -44
 1893,   221,  -416
 1603,   359,  -170
 2231,  -391,  -773
 2257,  -339,  -524
 2158,  -444,  -342
 1537,   225,  -263
  412,   409,   -96
  -14,  -172,   210
  296,  -820,   332
  281,  -111,   459
  -87,   176,   206
  175,  -345,   257
  114,   -29,  -227
 1680,   386,    92
 2498,   310,   -94
 1813,   115,  -878
 2229,  -667,  -949
 2635,  -897,  -279
 1573,     6,    41
  258,   516,    86
 -379,   250,   281
  537,  -862,   144
  170,    23,    79
 -247,   422,   227
  379,  -298,   433
  742,  -233,    79
 1739,   827,  -404
 1862,  -125,  -564
 2632, -1088,  -416
 2338,  -565, -1091
 1989,   416,   -68
 1008,   225,    -6
   28,    70,  -137
   46,  -238,   340
  293,   -64,   394
  -72,  -139,    39
  198,  -338,   209
  384,   -28,   463
 1083,   667,  -332
 2690,   423,   119
 1245,    81, -1110
 2551, -1209, -1324
 2412, -1027,  -378
 1733,   658,   109
  596,   766,   -47
 -251,   111,   177
  346,  -987,   182
  374,   -98,   351
 -155,    64,   296
   59,  -517,   -40
  510,   204,  -308
 1864,   552,    60
 1824,    -9,  -318
 1729,   -23,  -751
 2396,    46,  -619
 2380,  -611,  -354
 1642,  -244,  -167
  542,   347,  -154
 -177,   116,   346
  351,  -290,   611
  117,   -21,   185
   33,  -173,    76
  320,   -29,   305
  527,   496,   -86
 2360,  -106,  -540
 1308,  -422,  -426
 2007,  -180,  -777
 2330,  -291,  -614
 1855,   -69,  -180
 1222,   249,  -341
  638,    46,  -199
  172,  -116,   450
  160,  -514,   620
  293,  -220,   165
 -120,   282,  -155
  118,   401,   -43
 1517,  -412,    78
 1584,  -457,  -793
 1669,  -428,  -472
 2091,   182,  -439
 1882,   293,  -572
 1835,    -1,  -274
 1471,  -145,   -74
  684,   -42,   172
 -167,  -120,   -24
  -12,  -609,   -55
  219,  -325,     4
    5,    52,    82
  252,   316,   350
  851,   190,  -536
 2357,   264,  -436
 1747,  -598,  -534
 2562,  -161,  -599
 2264,   152,  -249
 1539,    64,   -68
  672,   167,    17
 -110,  -175,     4
  -56, -1353,  -519
   41,  -156,   -20
 -159,   669,   154
  292,    68,   311
  603,   -90,   -87
 2284,    53,  -273
 1500,  -248,  -252
 1823,   114,  -828
 2510,  -670,  -573
 2248,   120,  -259
 1527,   230,  -243
  346,   371,  -158
 -394,  -388,    85
  512, -1088,   325
  173,    52,   484
 -150,   110,   -23
