 1979,  -189,  -260
  993,  -145,    45
  248,  -212,   305
 -147,   -88,   478
  -88,   -32,   207
  -38,     2,   -38
   14,     4,   159
   97,    18,   350
  300,   173,   410
 1853,  -245,   -22
 2744,  -792,  -500
 3136,  -101,  -481
 2627,   462,  -181
 1356,   150,  -124
  481,  -295,   179
 -204,  -193,   515
 -149,  -159,   394
  -53,  -132,   -82
   18,    44,   -20
  196,   132,   184
  229,   293,   293
 1611,  -168,   268
 3289,  -717,  -487
 3211,   120,  -457
 2384,   271,  -178
 1121,    34,   -15
  284,  -383,   257
 -205,  -216,   593
 -110,   -63,   289
 -111,  -159,  -101
    9,    -3,    23
   50,   160,   184
  164,   271,   320
  561,   138,   188
 3133,  -625,  -610
 2933, -1024,  -281
 3272,   658,   -51
 2025,   427,   -11
  950,   -85,    -4
  136,  -380,   297
 -180,  -268,   476
 -156,  -224,    60
 -138,  -139,  -159
  -90,   134,   -18
    0,   203,   308
  277,   175,   482
  647,   110,   183
 3501,  -760,  -604
 3129,  -676,  -464
 2965,   499,  -360
 1761,   294,   -86
  735,  -248,   136
   96,  -484,   436
 -271,  -103,   405
 -249,  -114,   -23
  -22,  -178,   -28
  167,    59,   169
  132,   172,   314
  191,   251,   360
 1316,    24,   212
 3301,  -725,  -554
 3100,  -289,  -679
 2353,   490,  -248
 1324,   -10,  -118
  485,  -365,    31
  -94,  -271,   371
  -74,    47,   477
  -44,   -21,    94
   63,  -154,   -16
  117,   -45,   170
  161,   156,   255
  453,   354,   376
 3055,  -323,  -114
 2212,  -447,  -754
 3284,  -323,  -675
 2097,   -19,  -305
 1083,   -78,    65
  143,   -29,   402
 -131,   192,   707
   55,   -44,   326
  -25,  -160,  -144
  -19,   -91,   -40
  -47,    18,   159
  178,    78,   363
  608,   166,   378
 2773,  -323,  -423
 3100,  -889,  -371
 3252,    73,  -341
 1843,   446,  -131
  827,  -137,    54
  119,  -354,   422
  -50,  -133,   624
 -183,   -54,    40
  -35,  -242,  -223
  156,   -45,    24
  115,   132,   294
  178,   291,   581
  418,   256,   449
 2783,  -151,  -729
 2853, -1239,  -507
 3499,   -33,  -517
 2099,   450,  -212
  870,  -166,    28
   36,  -259,   341
 -162,   -25,   654
  -25,   178,   396
   86,  -139,    37
  101,  -116,     9
  -68,    47,    72
  -45,   102,   174
  370,    98,   787
 2349,  -546,  -300
 3143,  -645,  -346
 3687,    55,  -744
 2168,   -17,  -483
  921,   -66,    80
  -42,   -45,   529
 -228,    31,   884
