 1139, -1284,   555
 1676,   140,  1255
 2158,  -693,   684
 2473, -1360,  -335
 1605, -1053,   -40
  698,    43,  1387
 1509,  -151,  1042
 -591,  -476,  -809
 -534,  -147,  -801
 -107,   284,  -256
  209,   284,    53
  240,   365,   633
  105,    39,    85
   50,  -701,   -86
  281,  -273,   329
  821,   420,  -211
 3050, -1723,  1715
 2360,  1024,  -834
  632,  1491,  -468
 3408, -3226,  -609
 1370,   406,   529
  916,  -551,   129
  750,   234,  1105
  299,  -966,   781
 -358,   -68, -1046
 -251,   113,  -191
   42,   140,  -327
  124,   114,   113
  135,    31,   425
  373,  -329,   594
  862,  -265,   830
 2261,  -977,  -352
 2648, -1916,  -293
 1194,  1135,   748
 2868, -1754,  -348
 1536,  -909,  -397
 1231,  -874,    93
  708,   172,  1151
 1146,    70,   969
 -328,   154,    35
 -656,  -675,  -997
 -136,  -577,  -378
   54,   170,   166
   97,   490,   497
  128,    32,   936
 1891,  -198,  -338
 3234, -2531,  -340
  -73,  2109,   -77
 2643,  -778,  -114
 1401,  -227,    80
 1159,  -982,  -680
 1955, -1984,  -269
 1458,  -203,  1364
  719,  -261,  1365
 -186,  -432,  -473
 -548,  -693, -1006
   25,   171,  -161
   61,   641,   106
   74,   256,   262
   52,  -247,   428
  697,  -590,   316
 2261,  -538,  -358
 3369, -2290,   298
  672,  1495,  -467
 2780,  -499,  -285
 1372, -1222,  -570
 1294,  -576,  -177
 1528,  -795,   792
   66,  -362,   731
  534,  -987,   804
 -489,   -92,  -697
 -143,  -612,  -589
  143,   439,   160
   71,   678,   266
  261,   234,   638
 2946,  -930,   192
 1870, -1746,  -379
  953,   108,  -606
 2682,  -730,  -114
 1430,   -18,  -156
 1732, -1224,  -138
 1262, -1026,   735
  160,  -655,   661
  333,  -694,   317
 -463,   124,  -498
 -140,  -366,  -249
   69,   -68,   132
  134,   427,   194
  231,   418,   545
 1891,  -451,    17
 3028, -2602,  -465
 1241,   462,  -432
 2188,   -90,    23
 1720,  -880,  -375
 1346,  -889,  -171
 1665,  -888,   788
  399,   -92,   761
  167,  -841,   173
 -119,  -230,  -203
 -280,  -128,  -332
   -9,  -136,    19
  228,   -12,   312
  253,    29,   772
  991,   200,   265
 3060, -2497,  -335
 1002,  -396,  -377
 1913,   -89,   500
 1582,  -165,   464
 1371,  -790,    -6
 1518, -1070,  -536
 1343, -1071,   -27
 1270,  -554,   877
  330,  -192,   891
  298,  -727,   510
 -393,  -228,  -518
  -80,  -449,  -367
  -79,    49,    67
   74,   294,   187
  376,     4,   360
 1380,    -2,   285
 3260, -2014,  -288
 1850,  -350,  -298
 1621,   526,   484
 1792, -1399,  -505
 1302,  -961,  -193
 1562,  -923,   677
  727,   -81,   791
  155,  -464,   215
   59,  -455,   163
 -258,  -164,  -463
  -33,   -36,  -124
   64,   391,   254
   45,   577,   645
 1731,  -302,    29
 3160, -3006,  -119
  942,   795,  -665
 2688,  -779,  -537
 1497,  -529,  -249
 1211,  -331,   420
  815,  -832,   492
  -95,  -995,   402
  339,  -391,   909
 -362,  -316,  -537
 -252,  -360,  -376
  316,   590,  -142
 1291,   220,   739
 2933,  -255,   408
 1334,  -913,  -622
 1728,  -729,  -642
 1850,  -238,    34
 1765,  -878,    -3
 1907, -1078,   521
  545,  -673,   920
  730,  -614,   762
 -299,  -181,  -527
 -236,   309,  -561
   -5,   -52,    99
  114,    -2,   139
  119,  -109,   310
   96,  -283,   589
 2008,  -189,   167
 3018, -2467,  -474
  770,   435,  -303
 2373,  -509,     5
 1591,  -288,   -15
 1557,  -863,  -494
 1739, -1204,    76
  495,   -95,  1050
  909,  -490,  1354
 -515,  -770,  -982
 -337,  -601,  -680
  200,   530,     3
  205,   418,    27
  295,   472,   243
  604,   -35,    30
 1931,  -692,   -25
 2743, -1861,   270
 2267,   226,  -250
 1505,   386,  -240
 1871, -1986,  -785
 1160, -1249,   202
  801,  -394,   713
  175,  -317,   487
  116,  -429,   249
 -307,   275,  -106
 -281,  -591,  -309
   72,  -385,   -46
  120,   613,   472
 1941,   -58,  1035
 2456, -1437, -1087
 1774, -1094,  -645
 2404,   679,   613
 1785,  -674,  -154
 1344, -1470,    39
  677,  -538,   395
  206,  -309,   479
  -57,   -31,   113
 -191,  -295,  -404
   78,    80,    94
  250,   266,   747
  -45,   853,   308
 2417,  -915,  -167
 2433, -2078,  -343
  813,   418,  -134
 2503,  -923,  -310
 1326,  -584,  -343
 1831, -1068,   -84
 1740,  -192,   865
  276,  -518,   814
  424,  -812,   520
 -426,  -495,  -995
 -257,   -41,  -473
  158,   524,    32
  254,   331,   342
  231,   197,   781
  510,   242,   702
 3042, -1529,  -176
 1840, -2214,  -654
 1640,   928,   -65
 1830,   -45,   -34
 1485, -1220,  -287
 1337, -1431,  -528
 1844,  -702,   373
  662,    91,  1056
  554,    -2,   975
   -7,  -825,   -60
 -433,  -422,  -874
  -36,    58,  -219
  120,   316,   233
  268,   458,   436
  929,   136,   415
 2484, -1327,   189
 1748, -1898,  -428
 1894,   446,   251
 1657,  -780,  -710
 1636, -1411,  -870
 1582,  -325,   204
  748,   129,   743
   32,   -81,   613
  415,  -207,   514
 -480,  -529,  -604
 -229,  -299,  -230
  266,   414,   215
 1347,   -63,   633
 2262,  -670,    47
 1678, -1054,  -248
 1993,  -495,  -207
 1723,  -733,  -551
 1736,  -657,    -3
 1458,  -147,   848
  309,  -134,   404
  195,  -759,    99
  305,  -290,    20
  157,   332,  -172
  217,     1,  -351
   97,  -470,  -357
 -112,  -599,   689
  414,   578,   790
 2627, -2929,   676
  245,   290,   252
  781,  -625,  1385
 1384, -1398,   654
  977, -1368,  1043
 1457,  -867,  1417
 2006,  -291,   748
 2986,    59,  -531
  848, -1159, -1505
 2574,  -732,  2157
 -273,  -470,  -935
 -596,  -501, -1330
 1122,  2010,  1174
 -205,  -496,  -262
 -106,  -490,  -354
 -136,   425,   257
 -124,  -711,    17
  111,  -151,  -158
   30,   125,    70
  132,  -377,    75
  165,  -314,   246
  420,  -510,   105
  526,  -141,    11
 3078,   121,   -60
 3699, -3206,  1115
 1711,  1946,   581
  574,  1222,    16
 1372, -2106,  -837
 2471, -1898,   669
   19,   650,   596
  861,   109,   528
  910, -1073,   -55
  699,  -453,   221
  352,   163,   443
  216,  -164,   684
  446,  -414,   736
  521, -1016,    90
  467,  -364,   552
  333,  -503,   939
   92,  -676,   872
  -73,  -796,   865
  272,  -397,   661
  721, -1173,   729
  591, -1050,  1013
  754, -1032,  1209
 1402,  -837,  1433
 1877,  -483,  1226
 2144,   236,   300
 2523,  -460, -1342
  796, -2649,  -309
 2183,  1485,  1607
-7557
  823,  2001,  -479
  853,  1161,  1156
 -156,  -417,   -73
 -217,  -204,  -123
 -326,   229,  -281
  145,   124,    34
  137,    62,   177
  -18,   -81,    39
   28,  -554,  -174
   86,  -846,    60
  559,  -711,   988
 2224,   734,  -579
 3497, -2953,   582
 3160,  -601,   202
  705,  1742,   371
 1586, -1668,  -470
 1275, -1251,  -447
 1104,   262,    28
  820,   153,   152
 1033,  -390,   131
  819,  -198,   359
  614,  -204,   171
  375,  -216,   272
  201,   -80,   377
  412,  -384,   308
  988,  -619,   522
 1379,  -475,   531
 1636,  -699,   940
 1530,  -784,  1058
 1526,    15,  1018
 1165,  -298,   676
  260,  -317,  -259
 -160,   193,  -310
    8,   259,  -113
  207,   -21,   -59
   80,  -181,     7
  260,  -359,   662
 1361,  -345,   864
 2589,  -680,   550
 1225,  -795,  -393
 1818,  -902,  -604
 2065, -1946,  -572
 1892,   -47,   249
 1117,   560,   657
  318,    65,   575
   94,  -732,    93
 -116,  -267,    49
 -119,  -240,  -225
   82,  -154,   167
  241,   396,   521
 1303,    96,   145
 2181, -1246,   173
 1409,  -688,  -276
 2113, -1333,  -135
 1767,  -973,  -398
 1803,  -363,   -22
 1528,  -176,   443
  481,    69,   442
   79,  -267,   312
  398,  -278,   547
 -159,  -405,  -127
 -278,  -404,  -425
  -32,   101,   -25
  274,   363,   435
